Id,cycleName,distinctLanes,Radius,GridLength,Type,iterations,PhotonsDetected,cycleType,lanes,Photons,Milliseconds,PercentageTime,Percent
30,"[4,1]",4,8.771000000000003,10,B,10000,2200,QUAD,4,400,1049,0.1049,0.18181818181818182
31,"[4,1]",4,9.070000000000002,10,B,10000,2300,QUAD,1,0,382,0.0382,0
31,"[4,1]",4,9.070000000000002,10,B,10000,2300,QUAD,2,900,4837,0.4837,0.391304347826087
31,"[4,1]",4,9.070000000000002,10,B,10000,2300,QUAD,3,900,3302,0.3302,0.391304347826087
31,"[4,1]",4,9.070000000000002,10,B,10000,2300,QUAD,4,500,1479,0.1479,0.21739130434782608
32,"[4,1]",4,9.369000000000002,10,B,10000,2600,QUAD,1,0,181,0.0181,0
32,"[4,1]",4,9.369000000000002,10,B,10000,2600,QUAD,2,800,4046,0.4046,0.3076923076923077
32,"[4,1]",4,9.369000000000002,10,B,10000,2600,QUAD,3,1100,3848,0.3848,0.4230769230769231
32,"[4,1]",4,9.369000000000002,10,B,10000,2600,QUAD,4,700,1925,0.1925,0.2692307692307692
33,"[4,1]",4,9.668000000000001,10,B,10000,2700,QUAD,1,0,49,0.0049,0
33,"[4,1]",4,9.668000000000001,10,B,10000,2700,QUAD,2,500,2983,0.2983,0.18518518518518517
33,"[4,1]",4,9.668000000000001,10,B,10000,2700,QUAD,3,1300,4485,0.4485,0.48148148148148145
33,"[4,1]",4,9.668000000000001,10,B,10000,2700,QUAD,4,900,2483,0.2483,0.3333333333333333
34,"[4,1]",4,9.967,10,B,10000,2900,QUAD,1,0,1,0.0001,0
34,"[4,1]",4,9.967,10,B,10000,2900,QUAD,2,300,1826,0.1826,0.10344827586206896
34,"[4,1]",4,9.967,10,B,10000,2900,QUAD,3,1400,4949,0.4949,0.4827586206896552
34,"[4,1]",4,9.967,10,B,10000,2900,QUAD,4,1200,3224,0.3224,0.41379310344827586
35,"[5,2]",4,10.266,10,B,10000,3100,QUAD,2,100,941,0.0941,0.03225806451612903
35,"[5,2]",4,10.266,10,B,10000,3100,QUAD,3,1400,4995,0.4995,0.45161290322580644
35,"[5,2]",4,10.266,10,B,10000,3100,QUAD,4,1600,4037,0.4037,0.5161290322580645
35,"[5,2]",4,10.266,10,B,10000,3100,QUAD,5,0,27,0.0027,0
36,"[5,2]",4,10.565,10,B,10000,3200,QUAD,2,0,394,0.0394,0
36,"[5,2]",4,10.565,10,B,10000,3200,QUAD,3,1200,4245,0.4245,0.375
36,"[5,2]",4,10.565,10,B,10000,3200,QUAD,4,2000,5236,0.5236,0.625
36,"[5,2]",4,10.565,10,B,10000,3200,QUAD,5,0,125,0.0125,0
50,"[5,2]",4,10.863999999999999,10,B,10000,3500,QUAD,2,0,95,0.0095,0
50,"[5,2]",4,10.863999999999999,10,B,10000,3500,QUAD,3,800,2979,0.2979,0.22857142857142856
50,"[5,2]",4,10.863999999999999,10,B,10000,3500,QUAD,4,2600,6615,0.6615,0.7428571428571429
50,"[5,2]",4,10.863999999999999,10,B,10000,3500,QUAD,5,100,311,0.0311,0.02857142857142857
38,"[5,3]",3,11.162999999999998,10,B,10000,3800,TRIAD,3,400,1411,0.1411,0.10526315789473684
38,"[5,3]",3,11.162999999999998,10,B,10000,3800,TRIAD,4,3200,8054,0.8054,0.8421052631578947
38,"[5,3]",3,11.162999999999998,10,B,10000,3800,TRIAD,5,200,535,0.0535,0.05263157894736842
39,"[6,3]",4,11.461999999999998,10,B,10000,3900,QUAD,3,0,305,0.0305,0
39,"[6,3]",4,11.461999999999998,10,B,10000,3900,QUAD,4,3200,8141,0.8141,0.8205128205128205
39,"[6,3]",4,11.461999999999998,10,B,10000,3900,QUAD,5,700,1483,0.1483,0.1794871794871795
39,"[6,3]",4,11.461999999999998,10,B,10000,3900,QUAD,6,0,71,0.0071,0
40,"[6,3]",4,11.760999999999997,10,B,10000,4100,QUAD,3,0,2,0.0002,0
40,"[6,3]",4,11.760999999999997,10,B,10000,4100,QUAD,4,2700,6884,0.6884,0.6585365853658537
40,"[6,3]",4,11.760999999999997,10,B,10000,4100,QUAD,5,1300,2794,0.2794,0.3170731707317073
40,"[6,3]",4,11.760999999999997,10,B,10000,4100,QUAD,6,100,320,0.032,0.024390243902439025
41,"[6,4]",3,12.059999999999997,10,B,10000,4400,TRIAD,4,2000,5219,0.5219,0.45454545454545453
41,"[6,4]",3,12.059999999999997,10,B,10000,4400,TRIAD,5,1900,3824,0.3824,0.4318181818181818
41,"[6,4]",3,12.059999999999997,10,B,10000,4400,TRIAD,6,500,957,0.0957,0.11363636363636363
42,"[6,4]",3,12.358999999999996,10,B,10000,4600,TRIAD,4,1500,3985,0.3985,0.32608695652173914
42,"[6,4]",3,12.358999999999996,10,B,10000,4600,TRIAD,5,1900,3937,0.3937,0.41304347826086957
42,"[6,4]",3,12.358999999999996,10,B,10000,4600,TRIAD,6,1200,2078,0.2078,0.2608695652173913
43,"[7,4]",4,12.657999999999996,10,B,10000,4900,QUAD,4,1300,3368,0.3368,0.2653061224489796
43,"[7,4]",4,12.657999999999996,10,B,10000,4900,QUAD,5,1500,3043,0.3043,0.30612244897959184
43,"[7,4]",4,12.657999999999996,10,B,10000,4900,QUAD,6,2100,3544,0.3544,0.42857142857142855
43,"[7,4]",4,12.657999999999996,10,B,10000,4900,QUAD,7,0,45,0.0045,0
44,"[7,4]",4,12.956999999999995,10,B,10000,5200,QUAD,4,1100,2784,0.2784,0.21153846153846154
44,"[7,4]",4,12.956999999999995,10,B,10000,5200,QUAD,5,1100,2259,0.2259,0.21153846153846154
44,"[7,4]",4,12.956999999999995,10,B,10000,5200,QUAD,6,2700,4506,0.4506,0.5192307692307693
44,"[7,4]",4,12.956999999999995,10,B,10000,5200,QUAD,7,300,451,0.0451,0.057692307692307696
45,"[7,4]",4,13.255999999999995,10,B,10000,5300,QUAD,4,800,2233,0.2233,0.1509433962264151
45,"[7,4]",4,13.255999999999995,10,B,10000,5300,QUAD,5,700,1494,0.1494,0.1320754716981132
45,"[7,4]",4,13.255999999999995,10,B,10000,5300,QUAD,6,3000,5063,0.5063,0.5660377358490566
45,"[7,4]",4,13.255999999999995,10,B,10000,5300,QUAD,7,800,1210,0.121,0.1509433962264151
46,"[7,4]",4,13.554999999999994,10,B,10000,5500,QUAD,4,600,1746,0.1746,0.10909090909090909
46,"[7,4]",4,13.554999999999994,10,B,10000,5500,QUAD,5,500,1019,0.1019,0.09090909090909091
46,"[7,4]",4,13.554999999999994,10,B,10000,5500,QUAD,6,2900,4991,0.4991,0.5272727272727272
46,"[7,4]",4,13.554999999999994,10,B,10000,5500,QUAD,7,1500,2244,0.2244,0.2727272727272727
47,"[7,4]",4,13.853999999999994,10,B,10000,5800,QUAD,4,500,1305,0.1305,0.08620689655172414
47,"[7,4]",4,13.853999999999994,10,B,10000,5800,QUAD,5,300,653,0.0653,0.05172413793103448
47,"[7,4]",4,13.853999999999994,10,B,10000,5800,QUAD,6,2600,4471,0.4471,0.4482758620689655
47,"[7,4]",4,13.853999999999994,10,B,10000,5800,QUAD,7,2400,3571,0.3571,0.41379310344827586
48,"[8,4]",5,14.152999999999993,10,B,10000,6100,PENT,4,300,946,0.0946,0.04918032786885246
48,"[8,4]",5,14.152999999999993,10,B,10000,6100,PENT,5,200,463,0.0463,0.03278688524590164
48,"[8,4]",5,14.152999999999993,10,B,10000,6100,PENT,6,2000,3361,0.3361,0.32786885245901637
48,"[8,4]",5,14.152999999999993,10,B,10000,6100,PENT,7,3600,5227,0.5227,0.5901639344262295
48,"[8,4]",5,14.152999999999993,10,B,10000,6100,PENT,8,0,3,0.0003,0
37,"[9,4]",6,14.451999999999993,10,B,10000,6300,SEXO,4,200,607,0.0607,0.031746031746031744
37,"[9,4]",6,14.451999999999993,10,B,10000,6300,SEXO,5,100,302,0.0302,0.015873015873015872
37,"[9,4]",6,14.451999999999993,10,B,10000,6300,SEXO,6,1400,2473,0.2473,0.2222222222222222
37,"[9,4]",6,14.451999999999993,10,B,10000,6300,SEXO,7,4300,6162,0.6162,0.6825396825396826
37,"[9,4]",6,14.451999999999993,10,B,10000,6300,SEXO,8,300,416,0.0416,0.047619047619047616
37,"[9,4]",6,14.451999999999993,10,B,10000,6300,SEXO,9,0,40,0.004,0
49,"[9,4]",6,14.750999999999992,10,B,10000,6500,SEXO,4,100,389,0.0389,0.015384615384615385
49,"[9,4]",6,14.750999999999992,10,B,10000,6500,SEXO,5,0,160,0.016,0
49,"[9,4]",6,14.750999999999992,10,B,10000,6500,SEXO,6,800,1453,0.1453,0.12307692307692308
